neighbourhood_group;neighbourhood;room_type;price;minimum_nights;number_of_reviews;reviews_per_month;calculated_host_listings_count;availability_365
Lisboa;Belm;Entire home/apt;36;3;25;0.39;1;0
Lisboa;Santa Maria Maior;Entire home/apt;60;3;112;1.64;1;331
Azambuja;Aveiras de Cima;Private room;53;1;0;;1;365
Lisboa;Areeiro;Private room;71;1;0;;1;365
Lisboa;Santa Maria Maior;Entire home/apt;60;3;319;2.94;1;365
Lisboa;Santa Maria Maior;Entire home/apt;60;2;226;2.47;2;316
Lisboa;Estrela;Entire home/apt;1000;2;51;0.47;2;310
Lisboa;Avenidas Novas;Entire home/apt;70;4;36;0.32;1;219
Lisboa;Misericrdia;Entire home/apt;70;1;356;3.29;15;340
Lisboa;Misericrdia;Entire home/apt;50;1;111;1.12;10;352
Lisboa;Misericrdia;Entire home/apt;65;5;16;0.16;5;360
Cascais;Cascais e Estoril;Entire home/apt;80;5;30;0.53;1;320
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Entire home/apt;185;3;41;0.79;1;336
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Entire home/apt;64;3;5;0.28;1;83
Alenquer;Alenquer (Santo Estvo e Triana);Entire home/apt;200;7;5;0.13;1;363
Lisboa;Estrela;Entire home/apt;60;2;37;0.38;2;355
Lisboa;Misericrdia;Entire home/apt;310;1;0;;1;365
Lisboa;Avenidas Novas;Private room;69;2;3;0.07;2;365
Lisboa;So Vicente;Entire home/apt;40;2;138;1.27;8;361
Lisboa;Misericrdia;Entire home/apt;80;2;53;0.51;1;329
Lisboa;Estrela;Entire home/apt;90;4;25;0.25;10;304
Lisboa;Campolide;Entire home/apt;70;4;10;0.64;4;200
Lisboa;Estrela;Entire home/apt;85;3;18;0.20;10;365
Cascais;Cascais e Estoril;Entire home/apt;32;3;140;1.34;1;343
Lisboa;So Vicente;Entire home/apt;80;2;212;2.10;2;0
Lisboa;Santa Maria Maior;Entire home/apt;76;1;68;0.75;26;343
Lisboa;Santa Maria Maior;Entire home/apt;105;3;179;1.73;1;316
Lisboa;Santo Antnio;Entire home/apt;65;3;89;0.86;1;327
Lisboa;So Vicente;Entire home/apt;75;3;35;0.33;1;265
Lisboa;Misericrdia;Entire home/apt;125;3;28;0.28;1;329
Lisboa;Santo Antnio;Entire home/apt;145;3;16;0.17;10;365
Lisboa;So Vicente;Entire home/apt;50;1;60;0.89;1;138
Lisboa;Estrela;Entire home/apt;85;3;73;0.81;1;344
Lisboa;So Vicente;Entire home/apt;80;2;57;1.38;12;355
Oeiras;Barcarena;Private room;17;1;11;0.40;2;362
Cascais;Cascais e Estoril;Private room;30;2;15;0.86;1;0
Lisboa;Estrela;Private room;360;1;0;;1;365
Lisboa;Alvalade;Private room;26;3;70;1.27;3;359
Cascais;Cascais e Estoril;Entire home/apt;99;4;11;0.11;2;231
Cascais;Alcabideche;Private room;77;1;0;;7;365
Lisboa;Estrela;Entire home/apt;48;3;216;2.14;9;37
Lisboa;So Vicente;Entire home/apt;80;2;57;0.56;1;331
Lisboa;Campo de Ourique;Entire home/apt;150;4;22;0.22;10;365
Lisboa;So Domingos de Benfica;Private room;65;1;0;;1;83
Lisboa;Misericrdia;Entire home/apt;62;3;75;0.73;1;270
Lisboa;Santa Maria Maior;Entire home/apt;40;2;182;1.82;2;295
Vila Franca De Xira;Vila Franca de Xira;Private room;50;1;0;;1;365
Lisboa;So Vicente;Entire home/apt;69;3;165;1.79;9;0
